stem,day,lvl,ring_struct,before,after,gain,d1,d2,note
20260723_220723,20260723,146.7,2.651,5.265,1.279,2.854,3.624,1.279,
20260723_221250,20260723,147.0,2.657,5.785,1.121,3.368,3.685,1.818,
20260723_221815,20260723,147.3,2.568,5.023,1.537,3.189,3.399,1.535,
20260723_222340,20260723,148.7,2.545,5.307,1.404,4.438,3.262,2.124,
20260723_222908,20260723,152.0,2.392,3.752,0.012,2.613,1.774,0.454,
20260723_223433,20260723,153.0,2.28,5.534,0.849,3.008,3.173,1.277,
20260723_223958,20260723,154.7,2.185,2.747,0.378,2.626,1.447,0.379,
20260723_224526,20260723,155.0,2.198,3.136,0.801,3.662,1.428,0.785,
20260723_225050,20260723,157.0,2.214,3.62,0.541,2.995,2.142,0.854,
20260723_225616,20260723,157.0,2.23,3.739,0.453,2.528,1.87,0.401,
20260723_230143,20260723,157.3,2.175,4.937,0.997,2.924,2.678,1.008,
20260723_230708,20260723,157.0,2.121,4.037,0.721,3.951,1.547,0.918,
20260723_231233,20260723,157.7,2.146,2.78,0.234,2.859,1.821,0.646,
20260723_231557,20260723,158.3,2.12,3.665,-0.027,2.9,1.028,0.379,
20260723_231841,20260723,159.3,2.068,4.736,0.547,2.706,2.526,0.75,
20260723_232126,20260723,160.3,2.08,4.077,0.541,3.174,2.085,0.934,
20260723_232410,20260723,159.3,2.125,3.903,-0.178,2.645,1.526,0.413,
20260723_232654,20260723,160.3,2.086,4.148,0.461,2.558,1.791,0.411,
20260723_232938,20260723,160.7,2.047,4.691,0.303,3.138,2.37,1.04,
20260723_233223,20260723,160.3,2.081,5.597,0.744,2.624,2.885,0.754,
20260723_233507,20260723,160.7,2.041,5.47,0.456,3.03,3.545,1.45,
20260723_233751,20260723,160.7,2.064,5.778,0.784,3.029,3.159,1.291,
20260723_234035,20260723,160.3,2.158,4.961,1.122,3.137,2.727,1.196,
20260723_234320,20260723,160.7,2.059,5.092,0.72,2.679,2.678,0.763,
20260723_234604,20260723,160.7,2.016,4.666,0.997,2.911,2.993,1.114,
20260723_234848,20260723,161.0,2.039,5.257,0.385,2.907,2.687,0.996,
20260723_235132,20260723,159.7,2.077,5.168,0.99,2.853,2.889,1.018,
20260723_235416,20260723,159.7,2.104,4.743,0.084,2.253,2.206,0.093,
20260723_235701,20260723,160.0,2.072,5.042,-0.105,2.153,2.686,-0.11,
20260724_000000,20260724,160.0,2.115,4.858,-0.119,2.1,1.262,-0.115,
20260724_000244,20260724,159.7,2.041,4.103,0.33,2.767,1.016,0.326,
20260724_000528,20260724,159.7,2.07,4.169,-0.26,2.04,1.643,-0.253,
20260724_000813,20260724,160.0,2.104,4.181,0.06,2.242,1.639,0.056,
20260724_001057,20260724,159.7,2.085,4.317,-0.243,1.883,0.692,-0.248,
20260724_001341,20260724,159.7,1.994,4.945,-0.04,1.74,0.725,-0.45,
20260724_001626,20260724,159.0,1.982,5.073,-0.853,1.797,1.739,-0.879,
20260724_001910,20260724,157.7,1.953,5.463,0.493,2.553,2.146,0.488,
20260724_002154,20260724,156.0,1.992,3.576,-0.025,2.18,1.471,-0.025,
20260724_002439,20260724,154.3,1.897,3.299,0.293,2.831,0.774,0.267,
20260724_002723,20260724,150.0,2.012,4.349,-0.428,1.788,1.118,-0.584,
20260724_003007,20260724,144.3,1.989,3.917,0.173,2.345,1.576,0.17,
20260724_003252,20260724,138.0,2.169,4.432,1.012,3.792,1.845,1.052,
20260724_003536,20260724,131.0,2.304,4.271,0.556,2.93,1.993,0.754,
20260724_003821,20260724,121.7,2.368,4.857,0.914,3.476,2.245,1.157,
20260724_004105,20260724,117.0,2.53,4.744,0.705,3.846,1.606,0.929,
20260724_004350,20260724,112.3,2.63,4.669,0.724,2.728,2.584,0.789,
20260724_004634,20260724,100.7,2.678,5.308,1.335,2.81,3.882,1.309,
20260724_004919,20260724,91.3,2.831,5.31,0.915,4.508,2.974,1.957,
20260724_005204,20260724,81.7,3.048,6.128,1.719,3.058,4.759,1.984,
20260724_005448,20260724,66.3,3.37,5.019,1.906,6.0,4.094,3.169,
20260724_005733,20260724,50.3,4.136,5.677,1.765,4.55,4.25,2.813,
20260724_010018,20260724,35.0,4.926,7.652,3.15,4.936,6.827,4.745,
20260724_010330,20260724,19.0,6.417,6.899,2.701,4.951,6.897,4.802,
20260724_010856,20260724,4.0,9.977,9.145,5.002,6.0,9.145,7.55,
20260724_011457,20260724,0.0,18.811,10.948,10.948,1.0,10.948,10.948,
20260724_012021,20260724,,,,,,,,night
20260724_012548,20260724,,,,,,,,night
20260724_013112,20260724,,,,,,,,night
20260724_013635,20260724,,,,,,,,night
20260724_091452,20260724,,,,,,,,night
20260724_092016,20260724,,,,,,,,night
20260724_092540,20260724,,,,,,,,night
20260724_093105,20260724,,,,,,,,night
20260724_093629,20260724,,,,,,,,night
20260724_094153,20260724,0.0,15.297,11.804,5.208,6.0,11.804,10.712,
20260724_094720,20260724,5.7,8.396,6.374,1.821,4.126,5.076,3.127,
20260724_095122,20260724,18.3,5.679,6.311,1.765,5.323,4.941,3.57,
20260724_095406,20260724,30.7,7.621,3.732,1.27,4.244,3.314,2.088,
20260724_095651,20260724,44.0,6.882,4.469,1.342,4.944,3.419,2.378,
20260724_095936,20260724,62.0,4.504,2.617,0.062,2.493,1.758,0.345,
20260724_100220,20260724,77.7,5.947,13.524,4.189,6.0,11.399,8.995,
20260724_100505,20260724,88.7,4.214,5.15,1.185,4.38,3.399,2.192,
20260724_100750,20260724,103.0,3.964,10.545,3.325,4.243,8.468,5.335,
20260724_101034,20260724,106.7,4.322,-3.09,-3.09,0.2,-3.326,-3.781,
20260724_101319,20260724,111.0,3.551,4.662,0.489,2.702,2.403,0.709,
20260724_101603,20260724,115.3,4.372,7.391,0.9,2.884,4.131,1.5,
20260724_101848,20260724,120.0,4.385,4.429,0.647,3.11,1.48,0.638,
20260724_102132,20260724,129.0,4.198,5.067,1.175,3.531,2.667,1.403,
20260724_102429,20260724,135.7,3.143,2.129,0.006,4.704,0.57,0.385,
20260724_102714,20260724,141.3,2.822,1.934,0.126,3.73,0.845,0.474,
20260724_102958,20260724,146.7,3.183,5.284,0.149,2.287,2.255,0.152,
20260724_103242,20260724,152.3,3.761,7.046,0.158,2.289,3.487,0.241,
20260724_103526,20260724,157.0,3.622,4.221,0.171,2.621,0.835,0.217,
20260724_103811,20260724,159.0,3.453,1.782,0.021,1.076,0.021,-0.31,
20260724_104055,20260724,160.0,4.831,2.132,-0.247,1.642,0.479,-0.417,
20260724_104339,20260724,158.0,5.138,-2.554,-2.559,0.2,-2.914,-3.07,
20260724_104623,20260724,158.3,2.914,4.602,0.522,2.904,1.423,0.526,
20260724_104907,20260724,156.3,3.549,2.724,0.153,2.801,1.633,0.545,
20260724_105152,20260724,161.7,4.115,1.231,1.232,0.2,-0.469,-1.068,
20260724_105436,20260724,162.0,3.184,1.602,1.259,0.2,-0.502,-0.77,
20260724_105720,20260724,158.3,6.188,7.753,0.929,2.666,3.414,0.956,
20260724_110004,20260724,162.0,4.287,3.968,-0.201,2.018,1.157,-0.207,
20260724_110248,20260724,158.0,7.151,7.435,1.019,3.146,4.347,1.916,
20260724_110532,20260724,157.7,7.076,0.269,0.265,0.2,-1.464,-1.787,
20260724_110816,20260724,159.7,3.096,3.006,-0.144,1.906,0.335,-0.109,
20260724_111100,20260724,159.0,4.466,-2.97,-2.785,0.2,-2.959,-3.112,
20260724_111344,20260724,157.7,4.669,-1.844,-1.845,0.2,-1.844,-2.008,
20260724_111644,20260724,158.0,4.848,-5.145,-5.329,6.0,-5.349,-5.336,
20260724_111928,20260724,155.7,3.68,4.047,0.276,2.445,1.675,0.284,
20260724_112212,20260724,155.0,3.737,-5.127,-5.132,0.2,-5.356,-5.372,
20260724_112456,20260724,156.3,6.354,2.193,-1.278,6.0,-0.304,-0.296,
20260724_112740,20260724,156.3,4.774,6.625,0.395,2.471,3.144,0.579,
20260724_113024,20260724,155.0,2.958,4.303,-0.054,2.74,1.07,0.332,
20260724_113308,20260724,155.7,5.138,0.679,0.276,0.2,-1.149,-1.332,
20260724_113552,20260724,153.3,3.714,0.88,0.681,0.201,-0.541,-1.352,
20260724_114234,20260724,155.3,4.201,-3.38,-3.769,6.0,-3.783,-3.772,
20260724_114759,20260724,152.3,9.262,6.1,0.968,3.179,3.483,1.565,
20260724_115328,20260724,153.0,2.59,-0.95,-1.999,6.0,-2.005,-2.002,
20260724_115853,20260724,151.7,2.837,3.706,-0.668,2.469,0.804,0.147,
20260724_120419,20260724,158.7,3.557,2.533,-0.024,0.964,-0.023,-0.779,
20260724_120947,20260724,156.7,3.008,3.521,0.149,3.238,1.121,0.52,
20260724_121513,20260724,154.3,3.973,0.47,-0.562,6.0,-0.578,-0.567,
20260724_122039,20260724,154.3,3.97,-0.614,-0.614,0.2,-1.29,-1.725,
20260724_122606,20260724,153.0,2.848,4.299,0.832,3.143,1.825,0.803,
20260724_123131,20260724,151.0,2.808,1.083,-0.535,6.0,-0.253,-0.249,
20260724_123657,20260724,149.3,2.929,5.562,1.136,3.424,3.13,1.581,
20260724_124225,20260724,152.7,3.084,6.4,1.336,2.952,3.51,1.352,
20260724_124750,20260724,150.0,4.359,6.13,0.858,3.377,2.612,1.293,
20260724_125317,20260724,150.3,4.307,1.003,-0.071,0.572,-0.074,-0.281,
20260724_125845,20260724,149.3,5.363,-0.813,-1.278,6.0,-1.279,-1.277,
20260724_130412,20260724,150.0,5.52,12.826,2.439,3.604,9.04,4.875,
20260724_130937,20260724,150.0,3.745,4.75,1.385,4.425,2.399,1.559,
20260724_131504,20260724,151.0,3.31,1.573,1.573,0.2,0.445,0.451,
20260724_132030,20260724,147.7,3.569,7.307,1.255,3.058,4.614,1.924,
20260724_132556,20260724,148.3,3.147,5.019,1.071,3.828,2.709,1.56,
20260724_133124,20260724,145.3,3.166,6.015,1.065,2.877,2.954,1.065,
20260724_133652,20260724,144.3,2.689,4.093,0.626,2.813,1.894,0.64,
20260724_134217,20260724,145.7,3.431,7.382,1.503,2.919,4.055,1.519,
20260724_134746,20260724,144.7,3.311,0.466,0.465,0.2,-0.016,-0.023,
20260724_135313,20260724,146.3,4.371,10.486,2.891,3.741,7.635,4.292,
20260724_135839,20260724,148.0,5.197,-4.835,-4.852,6.0,-4.853,-4.848,
20260724_140407,20260724,148.3,3.415,3.605,0.749,6.0,1.016,0.985,
20260724_140935,20260724,141.7,4.764,4.693,1.439,3.506,2.764,1.44,
20260724_141502,20260724,143.7,4.41,8.623,2.672,3.529,5.518,2.9,
20260724_142034,20260724,145.0,3.738,3.052,1.425,6.0,1.871,1.649,
20260724_142647,20260724,146.0,4.292,6.717,2.089,4.189,3.951,2.464,
20260724_143214,20260724,142.0,6.486,1.26,0.055,2.306,0.651,0.053,
20260724_143744,20260724,143.3,6.537,-5.611,-5.611,0.2,-5.817,-5.828,
20260724_144314,20260724,146.3,3.228,6.637,0.981,2.771,3.193,1.03,
20260724_144840,20260724,146.0,5.758,14.478,2.965,4.459,11.948,7.803,
20260724_145410,20260724,147.3,4.736,-2.076,-2.076,0.2,-2.776,-2.776,
20260724_145939,20260724,141.0,4.675,6.211,0.325,3.624,3.928,2.132,
20260724_150507,20260724,141.3,4.134,0.616,0.615,0.245,-0.168,-0.436,
20260724_151038,20260724,145.0,4.274,5.179,0.694,5.882,2.841,2.142,
20260724_151606,20260724,147.0,4.082,5.354,1.25,3.55,2.274,1.203,
20260724_152132,20260724,150.3,2.782,5.231,1.779,4.161,2.859,1.773,
20260724_152702,20260724,158.0,2.605,3.839,0.597,2.906,1.506,0.558,
20260724_153228,20260724,159.3,2.247,6.059,1.437,4.103,2.84,1.742,
20260724_153758,20260724,159.7,2.324,6.517,1.273,3.134,3.17,1.387,
20260724_154326,20260724,160.7,2.251,5.386,1.543,6.0,2.108,1.809,
20260724_154850,20260724,160.7,2.3,5.112,1.381,4.134,2.152,1.328,
20260724_155416,20260724,164.0,2.708,2.755,0.611,3.952,1.004,0.596,
20260724_155943,20260724,165.7,2.322,7.675,1.6,3.476,3.699,1.907,
20260724_160508,20260724,169.3,2.444,6.565,1.24,2.752,3.807,1.2,
20260724_161033,20260724,157.0,4.368,7.87,1.482,3.594,3.419,1.838,
20260724_161600,20260724,155.3,3.36,7.488,1.258,2.719,4.76,1.437,
20260724_162126,20260724,158.3,2.839,8.716,2.12,3.391,4.89,2.436,
20260724_162651,20260724,162.0,4.547,10.773,2.175,3.032,7.164,2.932,
20260724_163219,20260724,163.3,2.983,5.182,0.675,4.704,1.86,1.257,
20260724_163744,20260724,165.0,2.488,4.922,0.159,2.303,1.967,0.155,
20260724_164309,20260724,164.7,2.158,2.393,2.391,0.2,0.731,0.775,
20260724_164837,20260724,169.0,2.077,8.283,1.602,2.992,4.724,1.878,
20260724_165402,20260724,170.7,2.245,4.735,1.317,3.933,2.164,1.279,
20260724_165927,20260724,172.0,3.227,-2.541,-2.541,0.2,-2.668,-2.712,
20260724_170454,20260724,169.3,3.059,7.116,1.291,2.761,4.511,1.436,
20260724_171019,20260724,166.3,3.421,7.54,1.263,2.674,4.38,1.24,
20260724_171544,20260724,168.3,2.533,4.112,1.167,4.355,1.733,1.113,
20260724_172111,20260724,160.3,3.902,-3.905,-3.889,6.0,-3.904,-3.895,
20260724_172719,20260724,165.3,6.093,-1.052,-1.052,0.2,-1.239,-1.608,
20260724_173244,20260724,157.0,6.666,-4.194,-4.194,0.2,-4.192,-4.207,
20260724_173812,20260724,157.3,9.119,-2.079,-2.079,0.2,-2.648,-2.988,
20260724_174337,20260724,147.3,5.899,3.02,-0.228,1.352,0.341,-0.821,
20260724_174902,20260724,149.7,12.608,7.919,1.358,3.705,5.322,2.962,
20260724_175429,20260724,149.3,12.039,-1.957,-1.957,0.2,-2.729,-2.874,
20260724_175954,20260724,148.3,5.359,2.358,0.707,6.0,0.903,0.697,
20260724_180519,20260724,148.0,3.42,7.183,1.718,3.152,3.892,1.722,
20260724_181047,20260724,150.3,8.246,9.234,2.143,3.163,5.743,2.558,
20260724_181612,20260724,147.3,6.026,3.156,0.508,3.833,1.142,0.658,
20260724_182137,20260724,149.0,6.008,14.959,2.548,4.086,11.853,7.243,
20260724_182705,20260724,148.3,7.176,1.384,0.068,2.61,0.238,0.061,
20260724_183230,20260724,152.0,4.583,10.257,1.665,2.977,7.577,2.979,
20260724_183755,20260724,154.3,3.947,-2.708,-2.708,0.2,-2.705,-2.876,
20260724_184322,20260724,159.3,4.144,-0.227,-1.183,6.0,-0.819,-0.816,
20260724_184847,20260724,164.0,2.897,4.755,1.645,3.739,2.307,1.296,
20260724_185413,20260724,169.3,2.673,5.052,0.747,3.375,1.76,0.871,
20260724_185940,20260724,170.3,2.153,2.855,2.855,0.2,0.416,0.437,
20260724_190510,20260724,168.7,2.175,3.292,0.932,6.0,1.03,0.918,
20260724_191035,20260724,169.7,2.114,5.186,1.156,3.51,2.381,1.243,
20260724_191602,20260724,167.3,2.437,6.4,0.719,2.525,3.315,0.707,
20260724_192130,20260724,166.0,2.593,6.077,0.671,2.595,2.712,0.672,
20260724_192655,20260724,165.7,4.853,3.057,0.516,2.935,1.483,0.563,
20260724_193223,20260724,156.7,2.921,3.679,1.135,6.0,1.665,1.332,
20260724_193748,20260724,151.7,4.977,12.033,2.424,3.566,8.874,4.724,
20260724_194314,20260724,151.3,4.149,4.49,0.621,4.554,2.33,1.543,
20260724_194841,20260724,151.3,2.627,6.668,0.926,2.905,3.687,1.365,
20260724_195407,20260724,150.7,3.438,1.373,0.235,3.873,0.381,0.222,
20260724_195932,20260724,138.0,2.643,3.145,0.548,6.0,1.132,1.022,
20260724_200459,20260724,132.3,3.389,1.821,0.483,4.481,0.916,0.601,
20260724_201025,20260724,128.7,4.134,1.109,0.137,3.231,0.255,0.118,
20260724_201550,20260724,128.0,5.594,4.588,0.755,3.752,2.459,1.387,
20260724_202117,20260724,123.7,4.878,12.649,3.186,4.969,10.404,7.259,
20260724_202725,20260724,126.7,4.737,7.104,1.442,3.394,5.224,2.605,
20260724_203250,20260724,121.3,5.852,0.935,0.935,0.2,0.354,0.392,
20260724_203818,20260724,126.0,4.578,7.582,1.324,3.364,4.075,2.006,
20260724_204348,20260724,143.7,5.122,15.845,3.275,4.189,12.542,7.822,
20260724_204913,20260724,143.0,5.736,6.837,1.072,2.879,3.621,1.308,
20260724_205446,20260724,141.0,5.469,2.915,2.915,0.2,1.255,1.258,
20260724_210011,20260724,137.0,6.436,10.007,2.786,3.597,7.829,4.211,
20260724_210536,20260724,149.7,4.219,9.82,2.05,2.933,6.53,2.475,
20260724_211103,20260724,150.3,3.566,9.846,1.584,2.874,6.068,2.182,
20260724_211628,20260724,140.0,4.804,5.715,1.008,2.986,2.503,0.991,
20260724_212153,20260724,130.3,5.759,1.506,1.506,0.2,-0.164,-0.406,
20260724_212720,20260724,126.3,5.59,-0.223,-0.605,6.0,-0.406,-0.398,
20260724_213245,20260724,125.3,6.44,6.486,0.641,3.003,4.063,1.629,
20260724_213810,20260724,132.3,4.109,10.688,1.698,3.705,7.576,4.215,
20260724_214338,20260724,138.0,3.842,8.253,1.445,2.755,5.005,1.582,
20260724_214903,20260724,160.0,2.166,4.222,0.388,2.499,1.93,0.385,
20260724_215428,20260724,167.7,2.679,5.513,1.001,3.543,1.889,0.998,
20260724_215955,20260724,165.0,2.809,2.913,0.28,2.737,0.903,0.279,
20260724_220520,20260724,157.7,2.233,5.612,1.617,4.738,2.706,1.838,
20260724_221046,20260724,157.7,2.172,4.759,0.989,3.719,2.312,1.292,
20260724_221613,20260724,155.3,2.46,5.22,1.232,3.527,2.44,1.281,
20260724_222138,20260724,137.7,5.314,10.411,1.273,3.072,7.522,3.166,
20260724_222703,20260724,131.0,3.7,-2.784,-2.955,6.0,-2.98,-2.972,
20260724_223231,20260724,130.0,4.405,-2.654,-2.637,6.0,-2.66,-2.658,
20260724_223756,20260724,132.3,3.565,1.711,0.189,3.013,0.908,0.367,
20260724_224321,20260724,138.7,3.636,8.14,1.822,3.279,5.558,2.632,
20260724_224848,20260724,135.0,6.258,4.458,0.843,2.781,2.523,0.823,
20260724_225418,20260724,139.0,3.726,8.282,1.617,3.25,4.856,2.266,
20260724_225944,20260724,142.3,2.623,5.966,1.407,3.875,3.193,1.861,
20260724_230511,20260724,130.3,4.381,2.588,0.067,2.285,1.089,0.072,
20260724_231036,20260724,132.0,2.563,2.456,0.138,2.508,1.345,0.274,
20260724_231439,20260724,130.0,5.917,15.761,3.297,5.091,13.0,9.187,
20260724_231724,20260724,131.7,3.231,7.686,1.722,3.349,4.089,2.0,
20260724_232008,20260724,138.7,4.414,6.845,1.524,2.971,3.668,1.435,
20260724_232252,20260724,142.7,7.208,7.939,2.539,3.684,4.728,2.614,
20260724_232537,20260724,143.0,5.228,6.803,1.877,4.259,3.578,2.261,
20260724_232821,20260724,136.7,3.294,3.94,1.119,5.582,2.302,1.699,
20260724_233105,20260724,131.0,2.722,6.658,1.814,4.888,3.712,2.566,
20260724_233350,20260724,128.7,2.414,6.15,0.863,3.723,2.892,1.617,
20260724_233634,20260724,127.7,3.478,4.201,1.093,3.533,1.954,1.028,
20260724_233918,20260724,132.7,3.185,3.204,1.02,5.343,1.386,1.003,
20260724_234203,20260724,138.3,2.816,4.306,1.42,6.0,1.709,1.359,
20260724_234447,20260724,141.0,3.36,4.426,0.947,4.476,1.736,1.137,
20260724_234751,20260724,141.0,2.92,7.41,1.407,2.787,4.827,1.586,
20260724_235035,20260724,142.3,2.556,2.871,0.534,6.0,0.618,0.508,
20260724_235320,20260724,141.0,3.044,2.981,0.383,2.556,1.555,0.356,
20260724_235604,20260724,137.7,3.023,1.466,0.392,6.0,0.424,0.384,
20260724_235848,20260724,133.7,2.745,3.697,0.705,5.497,1.219,0.894,
20260725_000133,20260725,130.0,2.55,5.979,-0.159,2.358,2.314,0.269,
20260725_000417,20260725,128.3,2.613,6.909,0.378,2.763,3.53,1.127,
20260725_000701,20260725,128.0,2.529,4.857,0.075,2.253,1.709,0.072,
20260725_000945,20260725,128.3,2.427,3.785,-0.118,2.102,1.232,-0.11,
20260725_001230,20260725,131.3,2.153,4.91,0.53,2.769,1.544,0.497,
20260725_001514,20260725,137.7,2.205,6.268,1.15,3.429,2.02,1.022,
20260725_001759,20260725,140.7,1.897,6.248,0.164,2.328,1.872,0.181,
20260725_002043,20260725,138.0,2.524,9.211,0.358,2.304,4.469,0.357,
20260725_002328,20260725,135.7,2.388,3.362,0.922,6.0,0.948,0.919,
20260725_002612,20260725,135.0,2.011,5.211,0.23,2.694,1.51,0.441,
20260725_002856,20260725,133.3,4.19,3.928,0.031,1.924,1.135,-0.338,
20260725_003141,20260725,133.0,4.114,6.69,0.596,2.455,3.272,0.574,
20260725_003425,20260725,131.3,3.232,5.441,-0.095,2.423,1.861,0.291,
20260725_003710,20260725,127.3,3.065,0.892,0.007,1.009,0.007,-0.892,
20260725_003954,20260725,122.3,3.324,2.938,-0.072,1.604,0.813,-0.802,
20260725_004239,20260725,111.3,3.482,0.02,0.02,0.2,-1.084,-1.325,
20260725_004632,20260725,87.7,4.402,6.203,0.57,2.667,3.489,0.978,
20260725_004917,20260725,78.7,3.41,7.023,0.186,2.601,3.708,0.929,
20260725_005201,20260725,58.0,4.033,2.596,0.223,2.721,1.75,0.53,
20260725_005446,20260725,42.3,4.888,4.898,0.523,2.901,2.514,0.927,
20260725_005731,20260725,30.0,5.977,4.184,0.327,3.657,2.898,1.589,
20260725_010015,20260725,18.7,7.043,9.405,3.672,3.989,8.168,4.889,
20260725_010158,20260725,14.3,7.391,11.317,3.463,3.722,9.489,5.305,
20260725_010722,20260725,2.3,11.755,-4.747,-4.747,0.2,-5.184,-5.7,
20260725_011325,20260725,0.0,20.351,11.869,4.515,6.0,11.869,10.304,
20260725_011849,20260725,,,,,,,,night
20260725_012413,20260725,,,,,,,,night
20260725_012944,20260725,,,,,,,,night
20260725_013508,20260725,,,,,,,,night
20260725_091901,20260725,,,,,,,,night
20260725_092430,20260725,,,,,,,,night
20260725_092953,20260725,,,,,,,,night
20260725_093519,20260725,,,,,,,,night
20260725_094041,20260725,,,,,,,,night
20260725_094605,20260725,0.0,22.332,9.711,2.839,6.0,9.711,9.703,
20260725_095131,20260725,4.0,15.469,35.034,17.92,6.0,35.04,30.819,
20260725_095351,20260725,8.3,11.616,10.923,3.24,4.223,9.237,5.798,
20260725_095636,20260725,18.7,8.65,-9.072,-9.072,0.2,-9.08,-9.091,
20260725_095920,20260725,34.0,6.945,-2.08,-2.08,0.2,-2.74,-2.756,
20260725_100205,20260725,44.0,7.027,7.676,2.002,6.0,5.017,3.852,
20260725_100449,20260725,56.7,4.444,8.272,2.509,4.296,6.409,4.075,
20260725_100747,20260725,71.7,4.594,7.623,2.34,4.148,5.459,3.378,
20260725_101031,20260725,86.7,7.962,5.481,0.966,2.782,2.986,0.975,
20260725_101316,20260725,87.0,6.624,7.41,2.289,4.183,5.003,3.117,
20260725_101600,20260725,81.3,3.744,8.768,2.396,3.667,6.647,3.656,
20260725_101845,20260725,84.7,3.37,3.761,0.032,3.084,2.265,0.961,
20260725_102129,20260725,91.0,3.143,5.246,1.285,3.201,3.426,1.558,
20260725_102414,20260725,94.3,2.583,5.989,0.573,3.086,3.085,1.31,
20260725_102658,20260725,97.7,2.8,4.419,0.334,2.136,2.297,-0.13,
20260725_102943,20260725,105.3,2.805,5.135,1.509,3.899,2.58,1.512,
20260725_103227,20260725,109.0,2.769,5.01,1.02,2.965,3.23,1.258,
20260725_103512,20260725,109.7,2.742,2.651,0.975,5.344,1.333,0.964,
20260725_103756,20260725,113.7,3.627,6.763,0.742,2.522,3.685,0.779,
20260725_104041,20260725,122.0,3.888,6.306,0.288,2.314,3.537,0.308,
20260725_104325,20260725,122.7,3.345,7.791,0.703,2.8,4.583,1.528,
20260725_104610,20260725,122.7,3.037,5.129,0.084,2.326,2.126,0.203,
20260725_104854,20260725,122.0,3.93,4.895,1.259,3.379,2.595,1.286,
20260725_105139,20260725,122.7,2.378,4.883,1.534,4.793,2.81,1.921,
20260725_105423,20260725,124.0,2.545,3.606,0.743,4.0,1.51,0.906,
20260725_105707,20260725,127.3,2.298,-0.325,-0.735,6.0,-0.907,-0.736,
20260725_105952,20260725,121.7,3.031,6.51,1.381,3.033,4.4,1.803,
20260725_110236,20260725,119.0,2.595,5.593,0.26,3.567,2.656,1.414,
20260725_110536,20260725,121.0,2.605,5.354,-0.173,2.489,2.197,0.427,
20260725_110820,20260725,125.3,4.006,-2.406,-2.406,0.2,-2.393,-2.796,
20260725_111104,20260725,127.3,2.963,4.589,0.832,2.959,2.042,0.791,
20260725_111349,20260725,134.3,2.708,2.168,2.168,0.2,0.561,0.586,
20260725_111633,20260725,138.3,2.797,6.171,0.149,2.659,1.892,0.523,
20260725_111917,20260725,141.0,2.352,3.776,0.44,3.032,1.054,0.432,
20260725_112201,20260725,143.0,2.012,3.208,2.733,0.2,0.961,1.047,
20260725_112446,20260725,143.3,2.468,3.596,0.92,6.0,1.244,1.055,
20260725_112730,20260725,143.3,2.204,4.737,1.405,4.534,2.215,1.463,
20260725_113014,20260725,145.0,2.207,4.943,1.529,5.092,2.204,1.558,
20260725_113258,20260725,145.0,2.924,2.575,0.712,6.0,0.797,0.719,
20260725_113543,20260725,143.0,2.509,7.172,1.72,3.373,3.769,1.863,
20260725_113827,20260725,135.7,2.889,6.174,0.706,2.617,2.893,0.746,
20260725_114157,20260725,138.0,2.824,3.783,0.323,2.741,1.021,0.317,
20260725_114723,20260725,142.0,5.307,-5.012,-5.016,6.0,-5.015,-5.013,
20260725_115249,20260725,135.3,3.271,7.13,-0.177,2.144,3.565,-0.175,
20260725_115817,20260725,128.0,3.556,8.496,1.52,2.919,5.187,1.944,
20260725_120342,20260725,141.7,2.613,5.193,0.102,2.566,2.215,0.518,
20260725_120909,20260725,147.0,2.035,5.38,0.701,2.943,2.304,0.881,
20260725_121437,20260725,156.7,1.794,5.221,1.399,5.109,2.045,1.448,
20260725_122004,20260725,153.3,1.893,4.111,0.231,2.431,1.425,0.23,
20260725_122530,20260725,143.0,2.235,4.611,0.661,2.806,1.999,0.671,
20260725_123058,20260725,138.3,2.022,4.407,0.396,3.285,1.134,0.538,
20260725_123623,20260725,133.3,2.278,6.396,0.886,2.864,2.572,0.917,
20260725_124149,20260725,125.7,2.262,5.547,0.732,2.702,2.557,0.754,
20260725_124717,20260725,133.7,2.421,6.941,0.783,2.744,2.584,0.805,
20260725_125243,20260725,134.3,2.034,2.482,0.024,2.249,0.609,0.024,
20260725_125809,20260725,120.3,2.756,3.428,-0.195,2.106,1.451,-0.123,
20260725_130337,20260725,123.0,2.166,5.387,0.799,2.865,2.279,0.813,
20260725_130904,20260725,122.0,2.7,5.724,-0.038,2.182,2.574,-0.038,
20260725_131430,20260725,136.3,3.426,2.146,0.143,2.514,0.755,0.157,
20260725_131958,20260725,140.7,2.085,4.218,0.312,2.708,1.045,0.311,
20260725_132524,20260725,154.3,2.963,0.996,0.995,0.2,-0.293,-0.44,
20260725_133049,20260725,162.0,2.434,1.362,0.137,2.733,0.447,0.137,
20260725_133616,20260725,153.0,3.592,5.049,0.023,2.793,2.472,0.818,
20260725_134142,20260725,149.3,2.398,4.099,0.66,3.616,1.888,1.022,
20260725_134707,20260725,145.7,3.164,9.498,0.732,2.638,5.122,1.369,
20260725_135236,20260725,140.0,2.678,5.513,0.447,3.528,1.994,1.047,
20260725_135801,20260725,150.3,3.126,9.947,1.377,2.902,6.745,2.49,
20260725_140326,20260725,159.3,4.371,6.139,-0.001,2.381,2.716,0.356,
20260725_140856,20260725,161.0,3.369,1.363,0.285,0.574,-0.272,-1.038,
20260725_141423,20260725,164.7,5.927,8.074,0.6,2.37,4.802,0.596,
